City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,72.48,77,3,2.33,clear sky
1,Cherskiy,RU,68.75,161.3,32.34,75,100,10.4,overcast clouds
2,Barrow,US,71.2906,-156.7887,39.22,87,90,11.5,overcast clouds
3,Hobyo,SO,5.3505,48.5268,77.65,82,98,25.72,overcast clouds
4,Gamboma,CG,-1.8764,15.8644,74.7,77,96,3.04,overcast clouds
5,Tashara,RU,55.5195,83.5094,45.23,82,88,15.7,overcast clouds
6,New Norfolk,AU,-42.7826,147.0587,44.1,74,93,1.99,overcast clouds
7,Fortuna,US,40.5982,-124.1573,70.41,68,1,5.01,clear sky
8,Vaini,TO,-21.2,-175.2,69.96,100,75,8.05,light intensity shower rain
9,Atuona,PF,-9.8,-139.0333,78.48,67,7,22.64,clear sky
10,Kapaa,US,22.0752,-159.319,80.58,76,75,1.01,broken clouds
11,Jamestown,US,42.097,-79.2353,74.01,81,90,4.0,overcast clouds
12,Miracema Do Tocantins,BR,-9.5618,-48.3967,104.86,11,2,5.68,clear sky
13,Bend,US,44.0582,-121.3153,69.08,51,1,1.99,clear sky
14,Thompson,CA,55.7435,-97.8558,44.76,70,75,2.3,broken clouds
15,Salalah,OM,17.0151,54.0924,82.49,83,75,5.75,broken clouds
16,Saskylakh,RU,71.9167,114.0833,42.24,65,14,6.2,few clouds
17,Esperantinopolis,BR,-4.8667,-44.7083,102.79,20,38,6.69,scattered clouds
18,Chamalieres,FR,45.7756,3.0631,70.52,60,0,4.61,clear sky
19,Margate,GB,51.3813,1.3862,65.95,72,93,11.45,overcast clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,100,90,8.05,mist
21,Conde,BR,-7.2597,-34.9075,83.66,61,75,17.27,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,54.9,71,96,10.27,overcast clouds
23,Avarua,CK,-21.2078,-159.775,75.25,78,40,16.11,scattered clouds
24,Cape Town,ZA,-33.9258,18.4232,56.1,84,43,1.99,scattered clouds
