City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hobyo,SO,77.65,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
9,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
10,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
21,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
23,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
28,Naze,JP,79.77,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
35,Butterworth,MY,77.05,light rain,5.3991,100.3638,Cititel Penang
38,Castro,BR,83.8,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Albany,US,79.39,overcast clouds,42.6001,-73.9662,
53,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
56,Georgetown,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
57,Kuala Terengganu,MY,78.13,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
58,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
64,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
72,Faanui,PF,77.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Hilo,US,78.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
80,Bethel,US,82.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
84,Dicabisagan,PH,78.33,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
87,Taloda,IN,77.52,overcast clouds,21.5667,74.2167,பக்ருதீன் அலி
89,Veraval,IN,80.91,overcast clouds,20.9,70.3667,Lords Inn Somnath
91,Dhidhdhoo,MV,82.2,overcast clouds,6.8833,73.1,Dhidhoo beach
93,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
94,Dong Hoi,VN,77.45,overcast clouds,17.4833,106.6,Nam Long Hotel
95,Nouadhibou,MR,82.38,overcast clouds,20.931,-17.0347,El Medina
96,Bathsheba,BB,87.04,scattered clouds,13.2167,-59.5167,Atlantis Hotel
102,Mitu,CO,84.27,broken clouds,1.1983,-70.1733,
105,Westport,US,84.09,clear sky,41.1415,-73.3579,The Westport Inn
113,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
116,Butaritari,KI,83.34,light rain,3.0707,172.7902,Isles Sunset Lodge
118,Dingle,PH,75.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
122,Honiara,SB,75.33,few clouds,-9.4333,159.95,Heritage Park Hotel
125,Hithadhoo,MV,84.13,overcast clouds,-0.6,73.0833,Scoop Guest House
128,Lock Haven,US,84.87,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
129,Madang,PG,76.8,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
137,Benin,BJ,76.46,broken clouds,9.5,2.25,
142,Ponta Do Sol,PT,79.0,scattered clouds,32.6667,-17.1,Hotel do Campo
144,Prado,BR,79.18,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
146,San Fernando,PH,78.15,light rain,15.0286,120.6898,Maharlika Hostel
148,Maryville,US,84.29,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
149,Buchanan,LR,75.78,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
150,Aquin,HT,87.62,broken clouds,18.2833,-73.4,Asheev Beach
156,Phalodi,IN,87.3,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
161,Guerrero Negro,MX,85.17,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
166,Karachi,PK,84.02,scattered clouds,24.9056,67.0822,Sadaat
168,Ixtapa,MX,89.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
172,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
179,Bossier City,US,89.78,clear sky,32.516,-93.7321,Horseshoe Bossier City
181,Itamaraca,BR,84.88,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
182,Ozuluama,MX,83.37,broken clouds,21.6667,-97.85,Hotel Posada De La Roma
183,Nador,MA,78.87,clear sky,35.174,-2.9287,Hôtel La Giralda
184,Mayo,US,88.27,clear sky,38.8876,-76.5119,Resorts Resource Group International
185,Digha,IN,82.11,heavy intensity rain,21.6833,87.55,Khoniker Atithi
188,Bandarbeyla,SO,77.68,clear sky,9.4942,50.8122,JABIR HOTEL
189,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
191,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
197,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
199,Sabang,ID,80.64,overcast clouds,5.8933,95.3214,Hotel Citra
200,Melzo,IT,80.22,clear sky,45.5013,9.4253,Hotel Visconti
203,Bontang,ID,77.99,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
204,Marsa Matruh,EG,82.2,few clouds,31.3525,27.2453,Beau Site
205,Pierre,US,76.05,clear sky,44.3683,-100.351,Ramkota Hotel
207,Aswan,EG,88.61,clear sky,24.0934,32.907,Nuba Nile
208,Sitangkai,PH,79.09,overcast clouds,4.6628,119.3928,Ama House
209,Pueblo Nuevo,MX,76.28,clear sky,23.3833,-105.3833,
216,Virginia Beach,US,86.05,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
217,Qeshm,IR,89.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
221,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
223,Marsh Harbour,BS,85.39,broken clouds,26.5412,-77.0636,Abaco Beach Resort
225,Banjar,ID,75.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
227,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
232,Itupiranga,BR,84.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
238,Port Blair,IN,81.23,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Saint-Sauveur-Des-Monts,CA,75.96,scattered clouds,45.9001,-74.1659,Hôtel St-Sauveur
250,Dayong,CN,82.08,light rain,25.0209,118.2898,Haiyue Express Hotel
251,Avera,US,85.95,clear sky,33.194,-82.5271,
252,Guijalo,PH,80.51,overcast clouds,13.7373,123.868,LBB Ricardo's Inn Unit A
254,Los Llanos De Aridane,ES,76.75,clear sky,28.6585,-17.9182,Valle Aridane
259,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
265,Oranjestad,AW,89.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
268,Kavieng,PG,81.14,moderate rain,-2.5744,150.7967,Nusa Island Retreat
277,Nalut,LY,86.41,clear sky,30.3333,10.85,
278,Vung Tau,VN,79.57,light rain,10.346,107.0843,Green hotel
280,Weiser,US,77.02,overcast clouds,44.251,-116.9693,The Colonial Motel
281,Warri,NG,78.13,overcast clouds,5.5167,5.75,BON Hotel Delta
284,Royan,FR,77.04,few clouds,45.6285,-1.0281,Hôtel Cordouan Thalassothérapie et Spa - Royan
286,Lata,PT,75.07,overcast clouds,40.1629,-8.3327,Casa Maquia
293,Kennebunk,US,80.35,few clouds,43.384,-70.5448,The Kennebunk Inn
297,Panama City,PA,80.55,broken clouds,8.9936,-79.5197,Riande Urban Hotel
301,Lalmohan,BD,82.49,overcast clouds,22.3384,90.7419,Sundorbon courier service
303,Isabela,PH,78.15,overcast clouds,6.7085,121.9711,Isawad Resort
305,Caravelas,BR,81.21,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
310,Abonnema,NG,77.32,light rain,4.7084,6.7931,Corper's Lodge Obonoma
311,Cabo San Lucas,MX,89.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
312,Puerto Carreno,CO,88.63,light rain,6.189,-67.4859,Casa Hotel Victoria
315,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
316,Palmer,US,81.99,scattered clouds,42.1584,-72.3287,Wedgewood Motel
317,Mandalay,MM,76.46,few clouds,21.9747,96.0836,Hotel Yadanarbon
322,Cocobeach,GA,78.73,overcast clouds,1.0002,9.5823,Hotel Esperance
325,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
327,Auki,SB,75.96,few clouds,-8.7676,160.7034,Auki Motel
332,Simbahan,PH,81.73,overcast clouds,6.3032,120.5836,
333,Rincon De La Victoria,ES,85.35,broken clouds,36.7172,-4.2758,Hotel Elimar
337,Sur,OM,87.58,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
338,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
339,Uthal,PK,83.62,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
340,Colares,PT,76.98,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
343,Metro,ID,76.41,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
346,Labuhan,ID,77.59,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
348,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
349,Finschhafen,PG,78.39,overcast clouds,-6.6024,147.8681,Cossam Guest House
350,Kieta,PG,78.91,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
352,Bubaque,GW,80.78,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
357,Nantucket,US,77.97,clear sky,41.2835,-70.0995,Jared Coffin House
361,Gillette,US,78.06,scattered clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
362,Lake City,US,88.99,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
364,Bardiyah,LY,79.3,clear sky,31.7561,25.0865,بورتو بردية
368,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
369,Palmeira Das Missoes,BR,85.42,clear sky,-27.8994,-53.3136,Hotel De Carli
370,Necocli,CO,85.5,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
372,Sao Filipe,CV,79.88,broken clouds,14.8961,-24.4956,Hotel Xaguate
373,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
375,Ormara,PK,79.68,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
377,Dunmore Town,BS,84.33,scattered clouds,25.5,-76.65,Coral Sands Hotel
379,Nanning,CN,84.65,light rain,22.8167,108.3167,Nanning Travelling With Hostel
381,Mitsamiouli,KM,76.53,few clouds,-11.3847,43.2844,Foyer ADM
382,Brigantine,US,87.17,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
385,Thinadhoo,MV,83.46,broken clouds,0.5333,72.9333,
386,Sarankhola,BD,80.94,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
388,El Paraiso,HN,84.0,broken clouds,13.8667,-86.55,HOTEL ISIS
399,Baillif,GP,83.7,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
403,Palm Coast,US,89.1,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
404,Harrisonburg,US,84.79,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
410,Sorong,ID,78.03,broken clouds,-0.8833,131.25,waigo splash hotel
418,Hamilton,US,89.22,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
421,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
423,San Quintin,MX,79.54,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
424,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
425,Santa Maria,BR,85.51,few clouds,-29.6842,-53.8069,Hotel Morotin
428,Masuguru,TZ,83.48,broken clouds,-11.3667,38.4167,
429,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
430,Matadi,CD,84.04,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
431,Honolulu,US,78.89,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
434,Manokwari,ID,78.04,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
435,Jurado,CO,80.04,light rain,7.1053,-77.7641,
436,Tirumullaivasal,IN,83.19,overcast clouds,11.2333,79.8333,Almupaark complex
438,Alappuzha,IN,78.51,light rain,9.49,76.3264,Panoramic Sea Resort
441,Kavaratti,IN,81.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
450,Fredericksburg,US,89.01,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
454,Kudahuvadhoo,MV,83.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
456,Itoman,JP,84.58,heavy intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
458,Port-Gentil,GA,77.92,overcast clouds,-0.7193,8.7815,Fengshui Residence
459,Narayanavanam,IN,81.18,overcast clouds,13.4167,79.5833,Sri Krishna Residency
464,Lazaro Cardenas,MX,83.08,overcast clouds,17.9583,-102.2,quinta antigua
469,Bull Savanna,JM,85.71,scattered clouds,17.8868,-77.5902,Big Red's
472,Vanimo,PG,77.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
475,Buala,SB,79.0,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
477,Muros,ES,77.5,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
481,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
482,Muroto,JP,75.88,overcast clouds,33.2833,134.15,Oota Ryokan
483,Tukrah,LY,78.48,clear sky,32.5341,20.5791,Lagrota restaurant
488,El Sauce,NI,88.45,broken clouds,12.8869,-86.539,Hotel Blanco
491,Ottumwa,US,85.53,clear sky,41.02,-92.4113,Hampton Inn Ottumwa
494,Peniche,PT,77.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
500,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,Lamu House
502,Dalbandin,PK,82.44,clear sky,28.8947,64.4101,Gidaan Guest House
504,Victoria,HK,87.33,light rain,22.2855,114.1577,Mini Hotel Central
511,Nisia Floresta,BR,85.01,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
512,Yarada,IN,82.72,light intensity drizzle,17.65,83.2667,Jeevan
514,Longhua,CN,81.54,light rain,23.6137,114.1919,Huadu Hotel
517,French Harbor,HN,89.6,clear sky,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
518,San Carlos,VE,86.58,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
520,Sarangani,PH,80.98,overcast clouds,5.4033,125.4636,Ballistic Islet
522,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
523,San Angelo,US,87.64,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
525,Mercedes,AR,80.85,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
527,Bereda,ES,80.58,broken clouds,43.2686,-7.5406,Pazo de Verdes
531,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
532,Islamkot,PK,89.55,heavy intensity rain,24.6997,70.177,Haji Hotel
537,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
538,Pemba,MZ,76.24,clear sky,-12.974,40.5178,Guesthouse Samotina
540,Makakilo City,US,77.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
549,Trairi,BR,84.58,broken clouds,-3.2778,-39.2689,janelas do mar
560,Merauke,ID,76.5,overcast clouds,-8.4667,140.3333,
561,Abadan,IR,87.75,clear sky,30.3392,48.3043,سالن مراسمات خانه معلم
564,Bonthe,SL,75.45,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
565,Camacha,PT,75.52,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
566,Kaffrine,SN,87.91,broken clouds,14.1059,-15.5508,Beuleup counda motel
573,Hurghada,EG,84.7,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
574,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
578,Trincomalee,LK,81.12,broken clouds,8.5711,81.2335,Welcombe Hotel
580,Tigre,AR,80.55,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
585,Gazanjyk,TM,77.7,clear sky,39.2446,55.5154,Railway motel
586,Aden,YE,88.27,clear sky,12.7794,45.0367,Sama Emirate Hotel
589,Sola,VU,79.05,few clouds,-13.8833,167.55,Leumerus Bungalows
592,Hambantota,LK,80.19,scattered clouds,6.1241,81.1185,Bungalow 63
595,West Odessa,US,87.28,clear sky,31.8424,-102.4988,Corporate Mobile Housing
597,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
599,Santa Barbara,US,85.33,clear sky,34.7333,-120.0343,Upper Ballard Campground
601,La Asuncion,VE,84.72,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
603,Fare,PF,77.18,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
610,Okmulgee,US,87.87,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
611,Dwarka,IN,81.12,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
612,Manavalakurichi,IN,77.09,overcast clouds,8.1333,77.3,Udaya Boys Hostel
615,Culaman,PH,79.03,overcast clouds,5.9603,125.6586,Jasmin Ex House
616,Puerto Escondido,MX,77.83,light intensity drizzle,15.85,-97.0667,Aldea del Bazar Hotel and Spa
