City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2021-09-02 19:55:34,78.2186,15.6401,35.44,64,20,4.61
1,Dikson,RU,2021-09-02 19:55:35,73.5069,80.5464,40.01,79,100,16.06
2,Rikitea,PF,2021-09-02 19:55:35,-23.1203,-134.9692,73.76,76,3,18.92
3,Castro,BR,2021-09-02 19:55:17,-24.7911,-50.0119,71.62,50,69,3.87
4,Kloulklubed,PW,2021-09-02 19:55:36,7.0419,134.2556,84.36,69,68,4.12
5,East London,ZA,2021-09-02 19:55:36,-33.0153,27.9116,64.02,90,35,6.87
6,Mahebourg,MU,2021-09-02 19:52:57,-20.4081,57.7,71.89,68,75,13.8
7,Albany,US,2021-09-02 19:50:58,42.6001,-73.9662,68.45,61,18,12.62
8,Yatou,CN,2021-09-02 19:55:36,37.15,122.3833,66.11,90,0,2.73
9,Mataura,NZ,2021-09-02 19:55:37,-46.1927,168.8643,41.49,77,17,3.38
10,Lorengau,PG,2021-09-02 19:55:37,-2.0226,147.2712,81.45,78,100,7.09
11,Ushuaia,AR,2021-09-02 19:55:37,-54.8,-68.3,46.06,53,0,4.61
12,Faanui,PF,2021-09-02 19:55:38,-16.4833,-151.75,78.96,64,5,21.68
13,Paamiut,GL,2021-09-02 19:55:38,61.994,-49.6678,43.93,96,100,7.52
14,Tessalit,ML,2021-09-02 19:55:38,20.1986,1.0114,96.21,10,0,10.78
15,Cidreira,BR,2021-09-02 19:55:39,-30.1811,-50.2056,65.52,77,100,7.0
16,Altay,CN,2021-09-02 19:55:39,47.8667,88.1167,54.68,50,41,3.47
17,Cherskiy,RU,2021-09-02 19:55:39,68.75,161.3,37.0,69,27,6.31
18,Kapaa,US,2021-09-02 19:55:40,22.0752,-159.319,82.38,71,100,3.0
19,Warmbad,NA,2021-09-02 19:55:40,-28.45,18.7333,58.53,43,0,11.45
20,Kampene,CD,2021-09-02 19:55:40,-3.6,26.6667,68.25,94,100,4.45
21,San Patricio,US,2021-09-02 19:55:41,28.017,-97.5169,100.49,44,11,14.61
22,Keetmanshoop,NA,2021-09-02 19:55:41,-26.5833,18.1333,72.52,13,4,9.22
23,New Norfolk,AU,2021-09-02 19:55:41,-42.7826,147.0587,61.92,76,100,2.42
24,Hobart,AU,2021-09-02 19:54:58,-42.8794,147.3294,62.26,67,40,5.75
25,Yellowknife,CA,2021-09-02 19:55:42,62.456,-114.3525,63.12,59,20,10.36
26,Ballina,AU,2021-09-02 19:55:42,-28.8667,153.5667,66.16,68,90,9.22
27,Nador,MA,2021-09-02 19:55:42,35.174,-2.9287,77.07,50,0,5.75
28,Atuona,PF,2021-09-02 19:55:43,-9.8,-139.0333,77.95,72,19,23.82
29,Washougal,US,2021-09-02 19:55:43,45.5826,-122.3534,82.69,39,0,4.0
30,Puerto Ayora,EC,2021-09-02 19:55:43,-0.7393,-90.3518,80.56,83,21,8.99
31,Iqaluit,CA,2021-09-02 19:55:44,63.7506,-68.5145,51.53,54,90,9.22
32,Yenagoa,NG,2021-09-02 19:55:44,4.9247,6.2642,74.59,94,100,2.64
33,Sale,MA,2021-09-02 19:55:44,34.0389,-6.8166,75.22,88,40,5.75
34,Georgetown,MY,2021-09-02 19:53:22,5.4112,100.3354,77.9,89,20,1.14
35,Butaritari,KI,2021-09-02 19:55:45,3.0707,172.7902,82.56,72,36,9.24
36,Makali,SL,2021-09-02 19:55:45,8.6333,-11.6667,73.27,90,54,1.77
37,Carnarvon,AU,2021-09-02 19:55:45,-24.8667,113.6333,57.27,56,63,14.97
38,Buraydah,SA,2021-09-02 19:55:46,26.326,43.975,91.85,10,0,6.4
39,Zabol,AF,2021-09-02 19:55:46,32.25,67.25,70.43,17,13,10.83
40,Coquimbo,CL,2021-09-02 19:52:57,-29.9533,-71.3436,58.73,72,40,11.5
41,Jamestown,US,2021-09-02 19:52:44,42.097,-79.2353,71.29,49,1,7.0
42,Provideniya,RU,2021-09-02 19:55:47,64.3833,-173.3,48.31,81,90,2.24
43,Nara,JP,2021-09-02 19:54:24,34.6851,135.8049,74.48,96,88,2.57
44,Mogok,MM,2021-09-02 19:55:47,22.9167,96.5,64.62,98,28,2.15
45,Ribeira Grande,PT,2021-09-02 19:55:47,38.5167,-28.7,73.8,83,75,3.44
46,Barra Patuca,HN,2021-09-02 19:55:48,15.8,-84.2833,81.72,80,100,14.23
47,Vaini,TO,2021-09-02 19:55:48,-21.2,-175.2,68.16,94,90,5.75
48,Naze,JP,2021-09-02 19:55:48,28.3667,129.4833,78.1,84,15,7.94
49,Bluff,NZ,2021-09-02 19:55:49,-46.6,168.3333,41.81,67,56,11.32
50,Ponta Do Sol,PT,2021-09-02 19:55:49,32.6667,-17.1,79.0,82,60,1.77
51,Busselton,AU,2021-09-02 19:55:49,-33.65,115.3333,42.04,68,100,7.9
52,Tuktoyaktuk,CA,2021-09-02 19:55:50,69.4541,-133.0374,46.4,93,75,20.71
53,Shizunai,JP,2021-09-02 19:55:50,42.3339,142.3669,61.0,87,0,5.79
54,Kavieng,PG,2021-09-02 19:55:50,-2.5744,150.7967,82.2,76,43,10.02
55,Ladario,BR,2021-09-02 19:55:51,-19.0047,-57.6017,102.29,27,0,10.36
56,Hilo,US,2021-09-02 19:55:51,19.7297,-155.09,87.28,86,43,1.99
57,Ypsonas,CY,2021-09-02 19:55:51,34.6884,32.9574,79.99,83,0,8.05
58,Qaanaaq,GL,2021-09-02 19:55:51,77.484,-69.3632,37.49,58,100,3.62
59,Goundam,ML,2021-09-02 19:55:52,16.4145,-3.6708,101.89,14,43,10.49
60,Tilichiki,RU,2021-09-02 19:55:52,60.4667,166.1,48.51,86,92,5.41
61,Barranca,PE,2021-09-02 19:55:52,-10.75,-77.7667,66.34,71,46,10.36
62,Ilulissat,GL,2021-09-02 19:55:53,69.2167,-51.1,37.54,61,61,3.42
63,Sinnamary,GF,2021-09-02 19:55:53,5.3833,-52.95,80.11,76,99,5.26
64,Kavaratti,IN,2021-09-02 19:55:53,10.5669,72.642,81.18,78,100,15.97
65,Dengfeng,CN,2021-09-02 19:55:54,34.4553,113.0281,68.09,93,32,2.01
66,Were Ilu,ET,2021-09-02 19:55:54,10.6,39.4333,52.23,86,82,6.17
67,Hithadhoo,MV,2021-09-02 19:55:54,-0.6,73.0833,82.8,66,99,7.43
68,Kungurtug,RU,2021-09-02 19:55:55,50.5994,97.5228,47.35,94,100,2.89
69,Nurota,UZ,2021-09-02 19:55:55,40.5614,65.6886,69.89,19,0,8.01
70,Thurso,GB,2021-09-02 19:55:55,58.5927,-3.5259,53.85,90,78,3.51
71,Tshikapa,CD,2021-09-02 19:55:56,-6.4167,20.8,80.87,48,100,2.48
72,Algiers,DZ,2021-09-02 19:55:32,36.7525,3.042,76.82,78,75,3.44
73,Southbridge,US,2021-09-02 19:55:56,42.0751,-72.0334,75.38,57,0,10.0
74,Chokurdakh,RU,2021-09-02 19:55:56,70.6333,147.9167,43.54,75,99,8.12
75,Souillac,MU,2021-09-02 19:55:57,-20.5167,57.5167,71.98,68,75,13.8
76,Los Llanos De Aridane,ES,2021-09-02 19:55:57,28.6585,-17.9182,73.15,94,75,5.75
77,Khatanga,RU,2021-09-02 19:55:57,71.9667,102.5,33.73,84,100,4.9
78,Thompson,CA,2021-09-02 19:52:01,55.7435,-97.8558,75.36,43,40,11.5
79,Luderitz,NA,2021-09-02 19:55:58,-26.6481,15.1594,54.16,88,1,6.85
80,Port Alfred,ZA,2021-09-02 19:55:58,-33.5906,26.891,63.73,93,33,10.18
81,Big Spring,US,2021-09-02 19:55:58,32.2504,-101.4787,94.53,46,40,9.22
82,Bredasdorp,ZA,2021-09-02 19:55:59,-34.5322,20.0403,54.72,94,6,5.75
83,Cape Town,ZA,2021-09-02 19:54:10,-33.9258,18.4232,58.87,74,20,4.0
84,Gat,IL,2021-09-02 19:55:59,31.61,34.7642,79.48,72,0,3.51
85,Kodiak,US,2021-09-02 19:55:59,57.79,-152.4072,56.71,82,90,0.0
86,Fare,PF,2021-09-02 19:56:00,-16.7,-151.0167,79.05,64,7,20.67
87,Birao,CF,2021-09-02 19:56:00,10.2849,22.7882,72.39,95,100,5.57
88,Bethel,US,2021-09-02 19:56:00,41.3712,-73.414,76.48,57,0,1.01
89,Lethem,GY,2021-09-02 19:56:01,3.3803,-59.7968,88.74,59,76,5.53
90,Arraial Do Cabo,BR,2021-09-02 19:55:09,-22.9661,-42.0278,76.96,73,0,19.57
91,Ostrovnoy,RU,2021-09-02 19:56:01,68.0531,39.5131,40.51,90,55,11.63
